name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
good morning muffins,75446,45,86498,2003-11-04,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'breads', 'muffins', 'quick-breads']","[215.9, 15.0, 57.0, 7.0, 7.0, 30.0, 9.0]",10,"['heat oven to 375 degrees', 'combine sugar and butter in large mixing bowl', 'beat at medium speed , scraping bowl often , until creamy', 'add sour cream and eggs', 'continue beating until well mixed', 'stir in coconut , raisins and carrots by hand', 'in separate bowl , combine flour , baking soda , and cinnamon', 'add flour mixture to sour cream mixture and stir until just moistened', 'spoon batter into greased 12-cup muffin pan', 'bake for 20 to 25 minutes or until lightly browned']","great for an on-the-run breakfast...full of fresh carrots, coconut and raisins.","['brown sugar', 'butter', 'sour cream', 'eggs', 'flaked coconut', 'raisins', 'carrots', 'all-purpose flour', 'baking soda', 'ground cinnamon']",10
good ol  buttermilk pie,124249,65,202688,2005-06-01,"['time-to-make', 'course', 'preparation', 'pies-and-tarts', 'desserts', 'pies', '4-hours-or-less']","[3660.4, 259.0, 1654.0, 85.0, 81.0, 395.0, 169.0]",7,"['cream butter and blend in sugar and flour mixing well', 'add eggs , lemon juice , and vanilla gradually stir in buttermilk', 'pour into unbaked pie shell and bake at 325 for 55 minutes', 'place on rack to cool', ""that's okay it's supposed to look like that"", 'this pie freezes well also', 'just wrap good in plastic wrap then place in jumbo freezer bag']",granny's recipe straight out of the texas hill country. hope you will enjoy this easy to make delight.,"['butter', 'sugar', 'flour', 'eggs', 'lemon juice', 'vanilla', 'buttermilk', 'unbaked pie shell']",8
good old gingersnaps,111307,20,145599,2005-02-16,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'hand-formed-cookies', 'desserts', 'cookies-and-brownies']","[810.5, 56.0, 247.0, 43.0, 16.0, 111.0, 38.0]",7,"['sift first six ingredients together', 'cream sugar and shortening', 'add egg and molasses', 'add dry ingredients and mix well', 'form walnut-sized balls and roll in a little sugar', 'place on greased cookie sheet', 'bake at 350 degrees for about 15 minutes']",i've been baking since i was a teenager and these were the first cookies i ever made. favorites to this day! just so you know; it's better to add the ginger to taste. i like to add extra myself.,"['flour', 'salt', 'baking soda', 'cinnamon', 'clove', 'ginger', 'sugar', 'butter', 'egg', 'molasses']",10
good veggie skewers,92498,20,113509,2004-06-02,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'vegetables']","[95.8, 12.0, 13.0, 0.0, 2.0, 5.0, 2.0]",5,"['soak the skewer sticks in water for about 10 minutes', 'slide veggies onto the skewers , alternating them', 'sprinkle them with salt and pepper before grilling , if desired', 'grill for 10 minutes , turning once , or until they are tender', 'enjoy !']","i made this for our memorial day dinner. we don't have a regular grill because they are not allowed at our apartment complex, but even on a george foreman grill, they came out really good. you can use any type of vegetable you like, and if you want more seasoning, or don't like the montreal chicken seasoning, you can use any type you like. very easy, and tasty.","['sticks', 'orange bell pepper', 'onion', 'yellow squash', 'zucchini', 'cherry tomatoes', 'olive oil', 'montreal roasted garlic chicken seasoning', 'salt & pepper']",9
goody bars,262776,40,273816,2007-10-31,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'bar-cookies']","[224.2, 21.0, 83.0, 3.0, 5.0, 38.0, 7.0]",5,"['melt butter in a 13"" x 9"" x 2"" pan', 'sprinkle ingredients in layers in order given', 'pour sweetened condensed milk over all', 'back at 350f for about 30 minutes', 'cool then cut into bars']","a perennial favorite in our house, especially around the holidays.  this is very simple to make and great for baked gifts","['butter', 'graham cracker crumbs', 'flaked coconut', 'semi-sweet chocolate chips', 'butterscotch chips', 'walnuts', 'sweetened condensed milk']",7
goody girl potatoes,267228,30,437974,2007-11-21,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'side-dishes', 'easy', '3-steps-or-less']","[787.1, 95.0, 21.0, 39.0, 38.0, 142.0, 13.0]",16,"['fill 6-quart pot two thirds full of water , add crab boil and stir until blended', 'cut potatoes in half and slice in 3 / 8 inch thick pieces', 'add potatoes to pot', 'bring to boil and cook until fork tender', 'while potatoes are cooking , fry bacon on medium heat in saute pan until crispy', 'remove and drain on paper towels', 'add red onion to bacon grease and cook until caramelized', 'just before onions are done , add garlic and cook until lightly brown', 'in serving bowl', 'add butter , half the cheese , half the bacon bits , half the green onions , cooked red onion , garlic , cayenne pepper , paprika , salt , pepper and sour cream', 'mix thoroughly', 'strain potatoes and add to bowl', 'let stand for a few minutes or until cheese starts to melt', 'fold ingredients together , trying not to break of the potatoes excessively', 'top with remaining cheese , bacon and green onion', 'check seasonings and adjust to taste']",this recipe was the side dish winner of our 2007 holiday recipe contest of the local newspaper.,"['crab boil seasoning', 'red potatoes', 'bacon', 'red onion', 'garlic', 'butter', 'cheddar cheese', 'sour cream', 'paprika', 'cayenne pepper', 'salt and pepper', 'green onion']",12
gooey butter cake,364526,35,883095,2009-04-05,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'cakes', 'number-of-servings']","[370.4, 24.0, 168.0, 14.0, 8.0, 25.0, 18.0]",17,"['preheat oven ot 350f', 'in a 13x9-inch metal pan , melt margarine in oven', 'do not allow melted margarine to brown', 'add cake mix', 'add 2 eggs', 'using an electric mixer , on low speed , mix ingredients , mix ingredients thoroughly', 'batter will be very thick', 'spread evenly over the bottom of the prepared pan', 'measure 1 / 4 cup of the confectioners sugar into small bowl and set aside', 'in a deep mixing bowl , using an electric mixer , beat cream cheese', 'slowly add the remaining confectioners sugar and continue to beat', 'add the remaining 2 eggs , and beat until smooth', 'pour the cream cheese mixture over the cake mixture , spreading to all sides to cover', 'sift the 1 / 4 cup confectioners sugar over the top', 'bake at 350f for no more than 35 minutes , or until top is light brown', 'allow to cool 2 hours before cutting', 'refrigerate']","sometimes a cake mix comes in handy for a quick dessert -  this is a delicious one i might add!!  if you use the lemon cake mix, add 2 tsp lemon juice to cream cheese mixture before baking, very good!!","['butter recipe cake mix', 'eggs', 'philadelphia cream cheese', 'margarine', ""confectioners' sugar""]",5
gooey carmel apple bars,458327,55,1762584,2011-06-08,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'bar-cookies', 'number-of-servings']","[360.1, 22.0, 142.0, 14.0, 7.0, 34.0, 18.0]",11,"['crust: in a bowl cream butter , shortening and brown sugar until fluffy', 'add flour , oats , salt and baking soda', 'mix well', 'stir in pecans if desired', 'set aside 2 cups', 'press remaining oat mixture into the bottom of a ungreased 13 in x 9 in baking pan', 'filling: toss apples with flour and spoon over crust', 'in a saucepan , melt the caramels and butter over low heat , drizzle over apples', 'top with the reserved oat mixture', 'bake at 400 degrees for 25 - 30 minutes or until lightly browned', 'cool before cutting into bars']",sinfully good caramel apple bars.,"['butter', 'shortening', 'brown sugar', 'all-purpose flour', 'quick-cooking oats', 'salt', 'baking soda', 'pecans', 'baking apples', 'caramels']",10
gooey chocolate chip melts,215068,36,459964,2007-03-04,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'drop-cookies', 'desserts', 'cookies-and-brownies', 'number-of-servings']","[158.9, 15.0, 39.0, 6.0, 3.0, 24.0, 5.0]",11,"['preheat oven to 350 degrees', 'grind oats in a food processor or blender until ground fine', 'combine ground oats with flour , baking soda , salt and cinnamon in a medium bowl', 'in a separate bowl combine the butter , sugars , vanilla and lemon juice and mix with mixer until combined', 'add the eggs and mix until smooth and creamy', 'stir the dry ingredients into the wet ingredients and blend well', 'add the chocolate chips and macadamia nuts to the dough and mix by hand until ingredients are well mixed', 'spoon rounded 1 / 4 cups full for big cookies onto ungreased , nonstick cookie sheet', 'place scoops of dough 2"" apart', 'bake 16-18 minutes or until cookies are light brown and soft in the middle', 'let cool']",subway taste-a-likes. have you tried their chocolate chip cookies? they always melt in your mouth and are soft and chewy.  perfect as a snack on any occasion.,"['rolled oats', 'flour', 'baking soda', 'salt', 'cinnamon', 'butter', 'brown sugar', 'granulated sugar', 'pure vanilla extract', 'lemon juice', 'egg', 'semi-sweet chocolate chips', 'macadamia nuts']",13
gooey coconut pineapple butter cake,335300,70,23119,2008-11-05,"['time-to-make', 'course', 'preparation', 'low-protein', 'desserts', 'cakes', 'dietary', 'low-in-something', '4-hours-or-less']","[367.1, 27.0, 156.0, 9.0, 6.0, 50.0, 16.0]",16,"['preheat oven to 350 degrees f', 'lightly grease a 13 by 9 by 2-inch baking pan', 'for the cake: in the bowl of an electric mixer , combine cake mix , egg , and butter and mix well', 'pat into bottom of prepared pan and set aside', 'for filling: still using an electric mixer , beat the cream cheese until smooth', 'beat in the eggs and vanilla', ""dump in confectioners' sugar and beat well"", 'reduce the speed and slowly pour in butter', 'mix well', 'fold in coconut and pineapple', 'pour filling onto cake mixture and spread evenly', 'bake for 40 to 50 minutes', ""don't be afraid to make a judgement call on the cooking time , because oven temperatures can vary"", ""you want the center to be a little gooey , so don't bake it past that point"", 'remove from oven and allow to cool completely', 'cut into squares']",this is spinoff of paula deen's gooey butter cake. this is very rich and a little goes a long way. i have had her gooey cake from qvc and it is very good. you can't eat much.,"['yellow cake mix', 'egg', 'unsalted butter', 'cream cheese', 'eggs', 'pure vanilla extract', ""confectioners' sugar"", 'flaked coconut', 'crushed pineapple']",9
gooey mandarin cake,58298,65,58619,2003-04-06,"['weeknight', 'time-to-make', 'course', 'preparation', 'desserts', 'cakes', 'dietary', 'number-of-servings', '4-hours-or-less']","[7154.6, 666.0, 2272.0, 239.0, 150.0, 1122.0, 258.0]",14,"['preheat oven to 350 degrees', 'spray a 9x13 baking pan with cooking spray', 'layer 1: combine ingredients and mix well', 'pat into pan', 'layer 2: beat cream cheese until smooth', 'add eggs , vanilla , and butter', 'mix well', 'add powdered sugar and mix well', 'pour over layer 1', 'topping: combine all ingredients and mix well', 'sprinkle evenly over top of cake', 'bake for 30 to 50 minutes', 'do not over bake', 'the center will be a little gooey']","another cake brought to work by a patient's wife. unfortunately, i was off the day she brought it, but every one else said it was fantastic. sure sounds good.","['yellow cake mix', 'egg', 'butter', 'cream cheese', 'eggs', 'vanilla', 'powdered sugar', 'mandarin orange sections', 'white chocolate chips', 'pecans', 'coconut']",11
gooey one bowl brownies,157513,45,188192,2006-02-24,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'chocolate', 'bar-cookies', 'brownies', 'number-of-servings']","[287.5, 27.0, 91.0, 4.0, 6.0, 39.0, 10.0]",8,"['preheat oven to 350 degrees f', 'microwave chocolate and butter or margarine in large bowl at high for 2 minutes or until butter or margarine is melted', 'stir until chocolate is melted', 'stir in sugar', 'mix in eggs , mayonnaise and vanilla', 'stir in flour and nuts', 'spread in greased 13 x 9 inch pan', 'bake for 35 minutes']",deliscious and gooey one bowl brownies.  minimal mess and impressive for guests!,"['unsweetened chocolate squares', 'butter', 'white sugar', 'eggs', 'mayonnaise', 'vanilla extract', 'all-purpose flour', 'walnuts']",8
gooey snickers cake,102747,50,156842,2004-10-27,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'number-of-servings']","[264.3, 17.0, 125.0, 8.0, 6.0, 29.0, 13.0]",8,"['combine cake mix , 1 egg , water , and margarine and beat until smooth', 'place in a greased 9x11 cake pan and smooth out', 'over low heat , or in microwave , melt candy bars', 'stir in cream cheese', 'add 2 beaten eggs and use mixer to mix well', 'beat in powder sugar until smooth', 'pour over the cake and bake at 350 degrees for 30 minutes', 'cool in fridge for 1 hour']",you have to try this! i am addicted to sweets and this is my favorite! it has been a hit with family and friends for years. everyone always wants this recipe.,"['german chocolate cake mix', 'egg', 'water', 'butter', 'snickers candy bars', 'cream cheese', 'eggs', 'powdered sugar']",8
goombay smash,238973,2,383346,2007-07-06,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-1-or-2', '5-ingredients-or-less', 'beverages', 'easy', 'dinner-party', 'cocktails', 'number-of-servings', '3-steps-or-less']","[354.4, 0.0, 43.0, 0.0, 1.0, 0.0, 4.0]",5,"['mix all ingredients in a shaker with ice', 'pour in a highball glass', 'you can add ice if you want', ""but we didn't cause the glass was full"", 'garnish with an orange slice and cherry']",i did it for my bf who wanted a long drink and not too sweet and he was happy with this drink.  and yes the taste is delicious.  found it here : http://www.drinksmixer.com/drink3905.html,"['spiced rum', 'coconut rum', 'apricot brandy', 'pineapple juice', 'orange juice']",5
gooseberry tart,123380,60,73836,2005-05-23,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'pies-and-tarts', 'desserts']","[533.4, 48.0, 82.0, 13.0, 16.0, 60.0, 19.0]",7,"['place the gooseberries , sugar and elderflower heads in a saucepan with a little water and simmer until the gooseberries are very soft', 'remove the elderflower heads , sieve the gooseberries or puree in a processor or blender , allow to cool and then stir in the eggs', 'fold the cream and honey together and stir into the gooseberry mixture', 'set the oven to 400f , or mark 6', 'roll out the pastry on a lightly floured surface and use to line a lightly greased 8 inch flan dish or pie plate , trimming the edges neatly', 'pour the gooseberry mixture into the case and bake for 30 to 40 minutes or until the filling is golden', ""place on a wire rack and allow to cool before serving , either on it's own or with pouring cream as an accompaniement""]","the first gooseberries of the season, especially when baked in a tart of pie, are traditionally served on whit sunday, making a pudding that has always been particularly popular in the county of warwickshire.  the elderflower heads give a delicate muscat flavour to the fruit.","['gooseberry', 'sugar', 'elderflower head', 'eggs', 'double cream', 'clear honey', 'shortcrust pastry']",7
gorgonzola focaccia,414744,200,134145,2010-02-26,"['time-to-make', 'preparation', '4-hours-or-less']","[477.8, 32.0, 1.0, 16.0, 27.0, 39.0, 19.0]",14,"['stir yeast in warm water in a large bowl', 'set aside for 10 minutes', 'combine the flour , olive oil and yeast mixture in a food processor until it forms a ball', 'knead a bit on a floured surface , then put in an oiled bowl and cover with plastic wrap', 'let rise for about 1 1 / 2 hours', 'flatten the dough on a cookie sheet until about 1 / 4 to 1 / 2 inch in thickness', 'dimple the dough with your fingers', 'combine cream , cheese and rosemary in a food processor', 'smooth the cheese mixture over the top of the dough', 'brush some oil and sprinkle some black pepper on top', 'let rise for 1 hour', 'preheat oven to 400 degrees', 'bake for 20 minutes', 'best served warm']",this is a delicious and simple bread that makes a wonderful accompaniment to an italian meal.,"['dry active yeast', 'warm water', 'olive oil', 'flour', 'baking powder', 'cream', 'gorgonzola', 'rosemary', 'fresh ground pepper']",9
gorky beet cake,281874,75,684177,2008-01-28,"['time-to-make', 'course', 'preparation', 'desserts', 'cakes', '4-hours-or-less']","[612.0, 59.0, 168.0, 18.0, 16.0, 50.0, 20.0]",13,"['beat together eggs , sugar and oil until fluffy', 'sift together flour , baking powder , baking soda , salt & cinnamon in large bowl', 'add egg mixture & stir well to blend', 'add vanilla , beets & walnuts', 'beat together 1 minute', 'pour into a greased and dusted 9x13 pan', 'bake at 350 degrees for 35-45 minutes', 'cool', 'serve with almond sauce on the side and drizzled over each serving , or dust with powdered sugar', 'for almond sauce:', 'blend together cream cheese , whipping cream & almond extract with mixer until fluffy', 'blend in powdered sugar', 'spoon onto cake or serve on the side']","when my mother served this cake to us, i was amazed at the moistness and flavor.  i never would have guessed that i was actually eating my vegetables! you can't even tell there are beets in it (their flavor cooks right out), but it's oh, so good.  it's like the mystery fruit cake that no-one can quite identify.  give it a try - you won't be sorry!","['eggs', 'granulated sugar', 'canola oil', 'all-purpose flour', 'baking powder', 'baking soda', 'cinnamon', 'salt', 'vanilla extract', 'beets', 'walnuts', 'cream cheese', 'whipping cream', 'almond extract', 'powdered sugar']",15
got milk cake recipe,270841,45,628779,2007-12-10,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cakes', 'dietary', 'low-sodium', 'low-in-something']","[363.6, 28.0, 109.0, 7.0, 15.0, 55.0, 13.0]",19,"['preheat oven to 350', 'spray a 13 x 9 inches pan with non-fat vegetable cooking spray', 'combine flour and baking powder', 'set aside', 'cream butter and sugar in large bowl with electric mixer on medium speed until light and fluffy', 'add eggs , one at a time , beating well after each addition', 'mix in vanilla', 'gradually add flour mixture , beating until well blended after each addition', 'pour into prepared baking pan', 'bake until toothpick inserted in center comes out clean', 'about 30 minutes', 'pierce warm cake with large fork at 1 / 2-inch intervals', 'combine the three milk products', 'pour slowly over top of cake', 'cool completely', 'cover', 'refrigerate 1 hour or until ready to serve', 'frost cake with the whipped topping just before serving', 'store leftover cake in the refrigerator']","i havent tried this cake yet. but, i love 3 milk cakes and this sounds very similar. i hope it's as good.","['flour', 'baking powder', 'butter', 'sugar', 'eggs', 'vanilla', 'milk', 'sweetened condensed milk', 'evaporated milk', 'cool whip topping']",10
gouda spinach salad,419547,30,333017,2010-04-08,"['30-minutes-or-less', 'time-to-make', 'preparation', 'easy', '3-steps-or-less']","[84.1, 6.0, 7.0, 16.0, 8.0, 6.0, 3.0]",5,"['cook the bacon and drain', 'crumble and toss with the cheese in a small bowl', 'combine vegetable oil , lemon juice , garlic , salt , mustard and pepper in a small jar', 'place spinach in a large bowl and toss with mushrooms , green onion and bacon cheese mixture', 'toss with salad dressing']","years ago, our local paper published a book called ""five star"".  this recipe is definately that!!","['bacon', 'gouda cheese', 'spinach', 'mushrooms', 'green onion', 'vegetable oil', 'lemon juice', 'garlic', 'salt', 'dry mustard', 'pepper']",11
gourmet bleu cheese burgers,112286,25,139078,2005-02-27,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'beef', 'ground-beef', 'meat']","[464.2, 41.0, 11.0, 34.0, 62.0, 62.0, 7.0]",7,"['mix ground beef with gourmet sauce , salt , and pepper', 'form into four patties', 'divide each patty through the center and flatten', 'make four double-decker patties by placing 1 ounce of bleu cheese on one patty and covering with second patty', 'pinch edges to seal cheese inside', 'grill or pan fry to desired doneness', 'serve on buns with lettuce , tomatoes , onions , mayo , etc']","serve this with your favorite burger accompaniments: sliced red onions, sliced tomatoes or lettuce.","['ground beef', 'yoshida gourmet sauce', 'salt', 'fresh ground black pepper', 'blue cheese', 'hamburger buns']",6
gourmet cheese potatoes,285034,65,755285,2008-02-08,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'potatoes', 'vegetables', '4-hours-or-less']","[544.6, 55.0, 9.0, 31.0, 31.0, 114.0, 13.0]",9,"['wash and peel potatoes', 'cut in half and cook until almost soft', 'shred potatoes coarsely', 'in saucepan over low heat , combine cheese and 1 / 4 cup butter', 'stir until almost melted', 'remove from heat and blend in sour cream , or milk , onion and seasonings', 'fold into potatoes and turn into a greased 2 quart casserole dish', 'dot with butter and sprinkle with paprika', 'bake for 30 minutes or until heated thoroughly in a 350 degree oven']",very good to make in the crock pot,"['potatoes', 'cheddar cheese', 'butter', 'sour cream', 'onion', 'salt', 'pepper', 'paprika']",8
gourmet deviled ham spread,424458,15,1366254,2010-05-10,"['15-minutes-or-less', 'time-to-make', 'preparation', 'easy', '3-steps-or-less']","[138.4, 12.0, 17.0, 35.0, 18.0, 9.0, 2.0]",2,"['combine all ingredients in a food processor and blend until smooth', 'use as a sandwich filling or spread on crackers for a snack']",i got this recipe from ham on the street.. it is nothing like that canned nightmare,"['smoked ham', 'mayonnaise', 'prepared mustard', 'onion', 'fresh parsley leaves', 'maple syrup', 'hot sauce', 'worcestershire sauce', 'paprika', 'mustard powder', 'salt', 'pepper']",12
gourmet goulash,376310,35,231054,2009-06-08,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish', 'one-dish-meal']","[370.1, 27.0, 22.0, 53.0, 46.0, 42.0, 9.0]",8,"['brown beef , onion , garlic and salt', 'add a little oil if you need it', 'add noodles', 'combine tomato juice , worcestershire sauce , celery salt , salt , pepper , beef broth and water in a bowl and stir', 'pour mixture over beef and noodles', 'cover and simmer for 20 to 30 minutes', 'stir in mushrooms and sour cream', 'heat through and serve']",i've been making this for years.  simple ingredients that most kids like.,"['lean ground beef', 'onion', 'garlic clove', 'salt', 'medium noodles', 'tomato juice', 'worcestershire sauce', 'celery salt', 'pepper', 'beef broth', 'water', 'sour cream', 'sliced mushrooms']",13
gourmet potatoes,350194,60,461099,2009-01-16,"['60-minutes-or-less', 'time-to-make', 'preparation']","[504.5, 52.0, 14.0, 27.0, 25.0, 105.0, 13.0]",10,"['cook potatoes in skins and cool', 'when cooled , peel and grate or shred , like hash browns', 'preheat oven to 350', 'butter sides and bottom of a large casserole dish or spray with cooking spray', 'melt 1 / 2 cup butter in saucepan and add grated cheese', 'remove from heat when melted and add the sour cream , chopped onion , salt and pepper', 'stir completely', 'add mixture to the grated potatoes and mix well', 'place in buttered casserole and dot with the 3 tablespoons of butter and sprinkle with paprika', 'bake at 350 degrees for 30-40 minutes until bubbly and golden-brown on top']","this wonderful dish has been a family favorite since i was a child.  i think i remember my mom getting the recipe out of the local newspaper back in the early 70's.  it tastes like a loaded baked potato to me, only better!  it is great for the holidays, especially the 'dairy' ones.","['russet potatoes', 'onion', 'butter', 'cheddar cheese', 'sour cream', 'salt', 'pepper', 'paprika']",8
gov oatmeal chocolate chip cookies,113808,25,198752,2005-03-21,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'drop-cookies', 'desserts', 'cookies-and-brownies', 'dietary']","[251.7, 11.0, 106.0, 7.0, 8.0, 19.0, 15.0]",8,"['preheat oven to 350', 'make sure chocolate chips , maple syrup , and sugar are vegan', 'in large bowl , stir flour , sugar , oats , soda , powder , salt , and chocolate chips', 'in a blender , blend banana , applesauce , maple syrup , and vanilla', 'mix the two mixtures together', 'add more applesauce or maple syrup if mixture is dry', 'spoon onto lightly oiled baking sheet', 'bake for 12-15 minutes or until they look done']",this recipe came from the garden of vegan cookbook-these are one of the best cookies i have ever had. i made a few changes to the recipe to cut down on sugar and oil.,"['whole wheat flour', 'sugar', 'rolled oats', 'baking soda', 'baking powder', 'salt', 'banana', 'applesauce', 'maple syrup', 'vanilla extract', 'chocolate chips']",11
grace s light   fluffy cupcakes,162307,30,238966,2006-03-30,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'cupcakes', 'desserts', 'cakes']","[180.1, 10.0, 53.0, 8.0, 5.0, 20.0, 8.0]",14,"['instead of buttermilk , you can use milk with a teaspoon of vinegar added as part of the amount', 'heat the oven to 325f', 'line a 12 cup cupcake pan with 12 liners', 'place the flour , salt , baking powder and baking soda in a medium size bowl', 'use a whisk and mix together well', 'in another bowl , place the eggs and vanilla- whisk together well', 'pour in the sugar while whisking and then add the butter and buttermilk- whisk well until mixed', 'add the flour mix to the egg mix in small amounts while just mixing enough to get the flour moist with no large lumps', ""don't over mix or it won't be as tender as you might like"", 'use a 2-inch ice cream scoop to fill the cupcake liner 2 / 3 full', 'bake in the middle rack of the oven until the tops just start to brown', 'a toothpick should come out clean after about 18-20 minutes', 'cool for about 5 minutes before removing cupcakes from the pan', 'make sure that the cupcakes are completely cool before you frost or they will be crumbly !']",easy and made from scratch! be sure to use care when measuring out the ingredients and you should have great results. we like to add one of our lorann flavorings to the batter- our current favorite is cotton candy!,"['cake flour', 'baking powder', 'baking soda', 'salt', 'eggs', 'vanilla', 'sugar', 'butter', 'buttermilk']",9
graham chocolate bars,335650,26,310998,2008-11-07,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'bar-cookies', 'number-of-servings']","[190.9, 18.0, 56.0, 4.0, 5.0, 27.0, 6.0]",12,"['combine crumbs , flour and baking soda and set aside', 'combine butter and brown sugar', 'stir in beaten eggs and vanilla', 'add flour mixture and mix well', 'stir in 1 cup of the chocolate chips and the walnuts', 'spread mixture in greased 13x9 inch pan', ""don't be alarmed if the mixture seems thick and doesn't fully cover the bottom of pan"", 'it will as it bakes', 'bake at 375 degrees for 16 to 18 minutes or till done', 'remove from oven and immediately spread remaining chocolate chips over top', 'when melted , spread like a frosting over the top', 'cool and cut into bars']",great cookie that keeps well.  this is one of my son's favorite cookies and i make them every christmas.  easy to make.  the melted chocolate chips make a lovely frosting.,"['graham cracker crumbs', 'flour', 'baking soda', 'butter', 'brown sugar', 'eggs', 'water', 'vanilla', 'chocolate chips', 'walnuts']",10
graham coconut squares,435017,35,92816,2010-08-12,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'number-of-servings']","[157.0, 12.0, 64.0, 4.0, 2.0, 25.0, 6.0]",6,"['cake:', 'mix all ingredients and put into a greased 9 x 9 inch baking pan', 'bake at 350f until golden , about 30 minutes', 'icing:', 'mix ingredients with a little milk to get the consistency you want', 'pour over cooled squares']","i don't know where i got this recipe but i've had it for years and am just now trying it.i'm very glad i did!it's so simple,throw it all in one bowl and it's done.i was skeptical about the absence of flour but i guess the graham crumbs acts as a flour.there is an icing with the recipe but i did not make that.i used another one that i had left over.it doesn't even need the icing,it's good on its own.","['graham cracker crumbs', 'brown sugar', 'milk', 'baking powder', 'vanilla', 'butter', 'coconut', 'egg', 'icing sugar', 'cocoa']",10
graham cracker banana bread,448948,85,628076,2011-02-17,"['time-to-make', 'preparation', '4-hours-or-less']","[236.3, 16.0, 58.0, 10.0, 9.0, 8.0, 10.0]",15,"['preheat oven to 350 degrees', 'grease a 9x5 inch loaf pan', 'mix graham cracker crumbs , flour , sugar , baking powder , and salt in large bowl', 'set aside', 'beat eggs , milk and oil in medium bowl with wire whisk until well blended', 'stir in bananas', 'add to flour mixture', 'stir until just blended', 'stir in raisins', 'spoon into greased loaf pan', 'bake 1 hour to 1 hour 10 minutes or until toothpick inserted in center comes out clean', 'cool in pan on wire rack 10 minutes', 'remove from pan', 'cool completely', 'cut into 16 slices to serve']",the original recipes called for raisins but i subbed nuts. tasty and great sliced with a bit of honey on it.,"['graham cracker crumbs', 'flour', 'sugar', 'baking powder', 'salt', 'eggs', 'milk', 'vegetable oil', 'bananas', 'nuts']",10
graham cracker chewies,126911,45,69474,2005-06-21,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'bar-cookies']","[274.8, 19.0, 126.0, 10.0, 5.0, 27.0, 12.0]",10,"['preheat oven to 350', 'mix crumbs , butter and flour till moist and crumbly', ""press mixture evenly in bottom of 9' square pan"", 'bake till lightly browned', 'about 18-20 minutes --', 'to prepare topping:', 'stir all ingredients till blended', 'spread topping over baked crust and bake an additional 20 minutes', 'let cool completely', 'it may take 14-15 minutes to cool completely']",don't these sound good..! have not tried them myself...,"['graham cracker crumbs', 'sugar', 'butter', 'salt', 'vanilla extract', 'flour', 'pecans', 'brown sugar', 'baking powder', 'eggs']",10
graham cracker coffee cake,130046,40,115964,2005-07-15,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'breads', 'coffee-cakes']","[516.9, 45.0, 145.0, 19.0, 11.0, 49.0, 19.0]",5,"['grease and flour a 9 x 13 pan', 'mix the first four ingredients together and put half of batter into pan', 'mix the remaining ingredients together and put half the crumb mix over the batter in pan', 'put remaining batter over the crumbs and last put remainder of crumbs on top', 'bake at 350 for 25-30 minutes']","this is good, i have made it many times over the years.","['yellow cake mix', 'eggs', 'vegetable oil', 'water', 'graham cracker crumbs', 'cinnamon', 'butter', 'brown sugar', 'walnuts']",9
